ID,CALL,CN,TYPE,HANDICAP,NAME
DD526A,LV-EOA,1R,ASW-20,1.100,Ferraris Virgilio
D012D2,LV-EKO,A2,ASW-20,1.100,Altamira Enrique
D0277C,LV-EKO,A2,ASW-20,1.100,Altamira Enrique
D00993,LV-EDK,CQ,ASW-20,1.100,Luengo Sebastian
DD5268,LV-EDK,CQ,ASW-20,1.100,Luengo Sebastian
DD5289,LV-ENV,CR,ASW-20,1.100,Cucurull S. Carlos
DDABCC,LV-EKL,DK,ASW-20,1.100,Goldenzweig Lucas
DD52CB,LV-DPC,DR,ASW-20,1.100,Guerra Sebastián P.
D006C0,LV-EMY,DW,ASW-20,1.100,De Diego Jorge Alfredo
DD5293,LV-EQT,HD,ASW-20,1.100,Pascolo Pablo Emilio
DDC1D7,LV-EQT,HD,ASW-20,1.100,Pascolo Pablo Emilio
DD52A2,LV-DRA,LG,ASW-20,1.100,Darrain Manuel
DD528B,LV-EHQ,MP,ASW-20,1.100,Pasztor Matias
DD52C5,LV-DPS,MR,ASW-20,1.100,Fassi Eduardo
DDDBE4,Lv-eqm,POL,ASW-20,1.100,Mirasso Walter
DDC2E9,LV-ERZ,SH,ASW-20,1.100,Hernández Alejandro
DD529E,LV-DOE,VN,ASW-20,1.100,Tonelli Mauricio
DD52C3,LV-EQE,W,ASW-20,1.100,Solimo Fabian
DDBADE,LV-ESR,WB,ASW-20,1.100,Marcaida Jose
DD528E,LV-EOB,WR,ASW-20,1.100,Bossart Martin
DD52C1,LV-DRB,ZB,ASW-20,1.100,Garda Raul A.
DDF0E8,LV-EOO,ZC,ASW-20,1.100,Lanzinetti Marcelo M.
DD52A9,LV-EGK,EG,DG-400 17m,1.090,San Sebastian Simon
DDE9AE,LV-EOE,10,LS-6,1.110,Artico Ignacio
D0130F,LV-X540,Y,LS-6,1.110,Verdura Martin
DD5299,LV-EOY,FU,Ventus,1.100,Damiano Jose
DD52B7,LV-EQF,NF,Ventus,1.100,Fassi Nicolás
