D00993,LV,CQ,ASW 20,110,Luengo Sebastian
D00ECF,LV,WL,ASW 20,110,Goldenzweig Damian
D0130F,LV,Y,LS 6,111,Verdura Martin
D0198C,LV,1R,ASW 20,110,Ferraris Virgilio
D021C4,LV,C,Kestrel 17m,112,Calamante Carlos
D0275C,LV,DR,ASW 20,110,Guerra Sebastián P.
D0277C,LV,A2,ASW 20,110,Altamira Enrique
DD5282,LV,FN,Jantar 2b,113,De La Rosa Fernando
DD5289,LV,CR,ASW 20,110,Cucurull S. Carlos
DD528E,LV,WR,ASW 20,110,Bossart Martin
DD5293,LV,HD,ASW 20,110,Pascolo Pablo Emilio
DD52A2,LV,LG,ASW 20,110,Darrain Manuel
DD52A9,LV,EG,DG 400 17m,109,San Sebastian Simon
DD52B3,LV,RJ,ASW 20,110,Eduardo Barrera
DD52B7,LV,NF,ventus b 15m,110,Fassi Nicolás
DD52C3,LV,W,ASW 20,110,Solimo Fabian
DD52CF,LV,YP,Ventus B 15m,110,Galoppo Fernando
DDABCC,LV,DK,ASW 20,110,Goldenzweig Lucas
DDC2E9,LV,SH,ASW 20,110,Hernández Alejandro
DDE9AE,LV,10,LS 6,111,Artico Ignacio
DDEC22,LV,N1,ASW 20,110,Girado Felipe
DDF0E8,LV,ZC,ASW 20,110,Lanzinetti Marcelo M.
DF258F,LV,MB,LS 6,111,Trivellini Omar
DBXX01,LV,DW,ASW 20,110,De Diego Jorge Alfredo
DBXX02,LV,FU,Ventus b 15m,110,Damiano Jose
DBXX03,LV,MP,ASW 20,110,Pasztor Matias
DBXX04,LV,MR,ASW 20,110,Fassi Eduardo
DBXX05,LV,POL,ASW 20,110,Mirasso Walter
DBXX06,LV,TB,ASW 20,110,Demodena Santiago
DBXX07,LV,VN,ASW 20,110,Tonelli Mauricio
DBXX08,LV,WB,ASW 20,110,Marcaida Jose
DBXX09,LV,ZB,ASW 20,110,Garda Raul A.
