ID,CALL,CN,TYPE,HANDICAP,NAME
4B4BF0,LV,SK,LS 4,1040,Bonelli Juan
D007AA,LV,PT,SZD-48 Jantar Std. 2,1000,Garcia Nicasio
D00DB7,LV,Z3,LS 4,1040,Spolita Guillermo
D01D3E,LV,22,Discus b,1070,Mazzarella Miguel
DD4FA1,LV,AD,DG 200,1070,Caraballo Martin Jose
DD525F,LV,FV,SZD-48 Jantar Std. 2,1000,Drazul Paula
DD528D,LV,PR,SZD-48 Jantar Std. 2,1000,Cortiglia Bruno
DD52A6,LV,JG,LS 4,1040,Ghioni Dino G.
DD52C0,LV,C1,LS 4,1040,Izurieta Anibal
DDEA23,LV,DI,Discus b,1070,Carrattini Daniel
DD5298,LV,PS,SZD-48 Jantar Std. 2,1000,Martinez Boero Miguel
DDBADE,LV,187,Pegase,1020,Palmieri Leonardo
DD52CD,LV,AW,Janus 18.2m,1020,Merono Marcos
DDXX04,LV,SD,Pegase,1020,De la Huerta Andres
D00FFE,LV,EY,LS 4,1040,Bengochea Esteban
DDEF9A,LV,FZ,LS 4,1040,Fernandez Martin
DD52BB,LV,KC,LS 4,1040,Darrain Martin
D024E9,LV,NM,LS 4,1040,Verdura Nicolas
DDEC75,LV,RG,LS 4,1040,Riera Gonzalo
DD52D1,LV,RI,LS 4,1040,Franzini Cristian
DD52BC,LV,RR,LS 4,1040,Centanni Ciro
D009D7,LV,1L,SZD-55-1 Nexus,1060,Pizzolante Nicolas
D026E4,LV,3,LS 3,1070,Garcia Diego L.
D00432,LV,MK,Discus a,1070,Delfabro Mauricio
D01357,LV,ZT,Discus b,1070,Zanassi Carlos G.
